subject,difficulty,topic,question,options,answer,hint
russian,easy,Орфография. Безударные гласные,В каком слове пропущена буква «о»?,"[""в_да"", ""тр_ва"", ""з_мля"", ""л_сток""]",в_да,Подберите проверочное слово с ударением на пропущенную гласную
russian,easy,Орфография. Безударные гласные,В каком слове пропущена буква «е»?,"[""в_сна"", ""м_ровой"", ""п_сатель"", ""кр_сивый""]",в_сна,Проверочное слово должно иметь ударение на эту гласную
russian,easy,Части речи,Какое слово является глаголом?,"[""бежать"", ""красный"", ""быстро"", ""дерево""]",бежать,Глагол отвечает на вопросы «что делать?» или «что сделать?»
russian,easy,Части речи,Какое слово является прилагательным?,"[""солнечный"", ""бегать"", ""дом"", ""весело""]",солнечный,Прилагательное отвечает на вопрос «какой?»
russian,easy,Антонимы,Какое слово является антонимом к слову «горячий»?,"[""холодный"", ""тёплый"", ""жаркий"", ""знойный""]",холодный,Антонимы — слова с противоположным значением
russian,easy,Синонимы,Какое слово является синонимом к слову «большой»?,"[""огромный"", ""маленький"", ""узкий"", ""низкий""]",огромный,"Синонимы — слова, близкие по значению"
russian,easy,Орфография. ЖИ-ШИ,В каком слове допущена ошибка?,"[""жыраф"", ""машина"", ""шило"", ""живот""]",жыраф,Вспомните правило написания ЖИ-ШИ
russian,easy,Орфография. ЧА-ЩА,Какое слово написано правильно?,"[""чаща"", ""чящя"", ""щявель"", ""чяйник""]",чаща,ЧА-ЩА пишется с определённой гласной
russian,easy,Члены предложения,Чем является слово «кошка» в предложении «Кошка спит на диване»?,"[""подлежащим"", ""сказуемым"", ""дополнением"", ""определением""]",подлежащим,Подлежащее отвечает на вопрос «к��о?» или «что?»
russian,easy,Члены предложения,Чем является слово «читает» в предложении «Мальчик читает книгу»?,"[""сказуемым"", ""подлежащим"", ""дополнением"", ""обстоятельством""]",сказуемым,Сказуемое обозначает действие подлежащего
russian,easy,Род имён существительных,Какого рода слово «окно»?,"[""среднего"", ""мужского"", ""женского"", ""общего""]",среднего,"Подставьте местоимение «оно», «он» или «она»"
russian,easy,Род имён существительных,Какого рода слово «книга»?,"[""женского"", ""мужского"", ""среднего"", ""общего""]",женского,"Подставьте местоимение «она», «он» или «оно»"
russian,easy,Множественное число,Какова форма множественного числа слова «стул»?,"[""стулья"", ""стулы"", ""стулы"", ""стулия""]",стулья,Некоторые существительные образуют множественное число нестандартно
russian,easy,Ударение,В каком слове ударение падает на второй слог?,"[""звонИт"", ""тОрты"", ""бАнты"", ""шАрфы""]",звонИт,Произнесите каждое слово вслух
russian,easy,Орфография. Непроизносимые согласные,В каком слове есть непроизносимая согласная?,"[""солнце"", ""красный"", ""весна"", ""лесной""]",солнце,"Найдите слово, где буква пишется, но не произносится"
russian,easy,Орфография. Парные согласные,Какую букву нужно написать в слове «хле_»?,"[""б"", ""п"", ""в"", ""ф""]",б,"Подберите проверочное слово, где согласная слышится чётко"
russian,easy,Типы предложений,Какое предложение является вопросительным?,"[""Ты идёшь домой?"", ""Какой прекрасный день!"", ""Солнце светит ярко."", ""Иди сюда.""]",Ты идёшь домой?,Вопросительные предложения содержат вопрос
russian,easy,Типы предложений,Какое предложение является побудительным?,"[""Закрой дверь."", ""На улице идёт дождь."", ""Какая красивая птица!"", ""Ты любишь читать?""]",Закрой дверь.,Побудительные предложения выражают просьбу или приказ
russian,easy,Алфавит,Какая буква идёт после «М» в русском алфавите?,"[""Н"", ""О"", ""Л"", ""П""]",Н,Вспомните порядок букв в алфавите
russian,easy,Слоги,Сколько слогов в слове «молоко»?,"[""3"", ""2"", ""4"", ""1""]",3,Сколько гласных — столько и слогов
russian,medium,Пунктуация. Запятые,В каком предложении запятая поставлена правильно?,"[""Мама, я пришёл домой."", ""Мама я, пришёл домой."", ""Мама я пришёл, домой."", ""Мама я пришёл домой.""]","Мама, я пришёл домой.",Обращение выделяется запятыми
russian,medium,Пунктуация. Сложные предложения,Где нужно поставить запятую: «Солнце светило(1) и(2) птицы пели(3) весёлые песни»?,"[""1"", ""2"", ""3"", ""Нигде""]",1,Части сложносочинённого предложения разделяются запятой
russian,medium,Спряжение глаголов,К какому спряжению относится глагол «дышать»?,"[""II спряжение"", ""I спряжение"", ""Разноспрягаемый"", ""Не определяется""]",II спряжение,"Это глагол-исключение, оканчивающийся на -ать"
russian,medium,Спряжение глаголов,Какое окончание будет у глагола «строить» в форме 3-го лица множественного числа?,"[""-ят"", ""-ют"", ""-ат"", ""-ут""]",-ят,Определите спряжение глагола по инфинитиву
russian,medium,Причастия,Какое слово является причастием?,"[""читающий"", ""чтение"", ""читать"", ""читательский""]",читающий,Причастие обладает признаками глагола и прилагательного
russian,medium,Деепричастия,Какое слово является деепричастием?,"[""прочитав"", ""читающий"", ""прочитанный"", ""чтение""]",прочитав,Деепричастие отвечает на вопросы «что делая?» или «что сделав?»
russian,medium,Н и НН в прилагательных,В каком слове пишется НН?,"[""стеклянный"", ""кожаный"", ""серебряный"", ""песчаный""]",стеклянный,Вспомните слова-исключения с суффиксом -ЯНН-
russian,medium,Н и НН в причастиях,В каком слове пишется НН?,"[""прочитанная книга"", ""жареная рыба"", ""вязаный свитер"", ""печёное яблоко""]",прочитанная книга,НН пишется в полных страдательных причастиях с приставкой
russian,medium,Падежи,В каком падеже стоит слово «книгой» в предложении «Я увлечён интересной книгой»?,"[""творительный"", ""родительный"", ""дательный"", ""винительный""]",творительный,Творительный падеж отвечает на вопросы «кем?» или «чем?»
russian,medium,НЕ с глаголами,В каком случае НЕ пишется слитно?,"[""ненавидеть"", ""не читать"", ""не бежать"", ""не спать""]",ненавидеть,"НЕ пишется слитно с глаголами, которые без НЕ не употребляются"
russian,medium,НЕ с прилагательными,В каком случае НЕ пишется раздельно?,"[""не большой, а маленький"", ""неинтересный фильм"", ""нелепый поступок"", ""небольшой дом""]","не большой, а маленький",НЕ пишется раздельно при противопоставлении с союзом «а»
russian,medium,Приставки ПРЕ- и ПРИ-,В каком слове пишется приставка ПРИ-?,"[""приехать"", ""преграда"", ""превратить"", ""преобразовать""]",приехать,"ПРИ- имеет значение приближения, присоединения"
russian,medium,Приставки ПРЕ- и ПРИ-,В каком слове пишется приставка ПРЕ-?,"[""преодолеть"", ""приклеить"", ""прибежать"", ""приготовить""]",преодолеть,ПРЕ- часто имеет значение «пере-» или «очень»
russian,medium,Чередование гласных,Какую букву нужно написать в слове «заг_рать»?,"[""о"", ""а"", ""е"", ""и""]",о,"В корне -гор-/-гар- под ударением пишется А, без ударения — О"
russian,medium,Чередование гласных,Какую букву нужно написать в слове «выр_сти»?,"[""а"", ""о"", ""е"", ""и""]",а,"Перед СТ и Щ пишется А, перед С — О"
russian,medium,Разряды местоимений,К какому разряду относится местоимение «никто»?,"[""отрицательное"", ""личное"", ""указательное"", ""притяжательное""]",отрицательное,Это местоимение выражает отсутствие лица
russian,medium,Словообразование,Каким способом образовано слово «подоконник»?,"[""приставочно-суффиксальный"", ""приставочный"", ""суффиксальный"", ""сложение""]",приставочно-суффиксальный,"Определите, какие морфемы добавлены к корню"
russian,medium,Виды связи в словосочетании,Какой вид связи в словосочетании «интересная книга»?,"[""согласование"", ""управление"", ""примыкание"", ""координация""]",согласование,"При согласовании зависимое слово уподобляется главному в роде, числе, падеже"
russian,medium,Виды связи в словосочетании,Какой вид связи в словосочетании «читать книгу»?,"[""управление"", ""согласование"", ""примыкание"", ""сочинение""]",управление,При управлении главное слово требует от зависимого определённого падежа
russian,hard,Пунктуация. Обособление,В каком предложении причастный оборот обособляется?,"[""Книга, лежащая на столе, очень интересная."", ""Лежащая на столе книга очень интересная."", ""Прочитанная мной книга понравилась."", ""Написанное письмо отправлено.""]","Книга, лежащая на столе, очень интересная.","Причастный оборот обособляется, если стоит после определяемого слова"
russian,hard,Пунктуация. Деепричастный оборот,В каком предложении допущена пунктуационная ошибка?,"[""Он шёл не оглядываясь."", ""Прочитав книгу, я задумался."", ""Она сидела, глядя в окно."", ""Улыбаясь, он подошёл ко мне.""]",Он шёл не оглядываясь.,"Деепричастный оборот обычно обособляется, но есть исключения"
russian,hard,Сложноподчинённые предложения,"Определите тип придаточного: «Я знаю, что ты придёшь».","[""изъяснительное"", ""определительное"", ""обстоятельственное причины"", ""обстоятельственное цели""]",изъяснительное,Изъяснительные придаточные отвечают на вопросы косвенных падежей
russian,hard,Сложноподчинённые предложения,"Определите тип придаточного: «Дом, в котором я живу, находится в центре».","[""определительное"", ""изъяснительное"", ""обстоятельственное места"", ""присоединительное""]",определительное,Определительные придаточные отвечают на вопрос «какой?»
russian,hard,Грамматические нормы,В каком предложении нет грамматической ошибки?,"[""Благодаря помощи друзей я справился."", ""Благодаря помощи друзей, я справился."", ""Благодаря помощь друзей я справился."", ""Благодаря друзьям помощи я справился.""]",Благодаря помощи друзей я справился.,Предлог «благодаря» требует дательного падежа
russian,hard,Грамматические нормы,Какое предложение содержит ошибку в употреблении деепричастного оборота?,"[""Подъезжая к станции, у меня слетела шляпа."", ""Читая книгу, я делал заметки."", ""Закончив работу, он отправился домой."", ""Гуляя по парку, мы любовались природой.""]","Подъезжая к станции, у меня слетела шляпа.",Действие деепричастия должно относиться к подлежащему
russian,hard,Синтаксические нормы,В каком предложении нарушена синтаксическая норма?,"[""Те, кто пришли, остались довольны."", ""Те, кто пришёл, остались довольны."", ""Все, кто пришёл, остались довольны."", ""Каждый, кто пришёл, остался доволен.""]","Те, кто пришли, остались довольны.",Сказуемое при местоимении «кто» стоит в единственном числе
russian,hard,Правописание наречий,В каком случае наречие пишется через дефис?,"[""по-новому"", ""понемногу"", ""попусту"", ""поровну""]",по-новому,"Через дефис пишутся наречия с приставкой ПО- и суффиксами -ОМУ, -ЕМУ, -И"
russian,hard,Правописание наречий,Как пишется слово «(в)двое»?,"[""вдвое"", ""в двое"", ""в-двое"", ""вдвоё""]",вдвое,"Наречия, образованные от числительных с приставкой В-, пишутся слитно"
russian,hard,Тире в предложении,В каком предложении тире поставлено правильно?,"[""Москва — столица России."", ""Москва, — столица России."", ""Москва столица — России."", ""— Москва столица России.""]",Москва — столица России.,"Тире ставится между подлежащим и сказуемым, выраженными существительными в именительном падеже"
russian,hard,Двоеточие в БСП,В каком бессоюзном сложном предложении нужно поставить двоеточие?,"[""Я выглянул в окно ( ) шёл дождь."", ""Наступила ночь ( ) все легли спать."", ""Прозвенел звонок ( ) урок начался."", ""Солнце село ( ) стало темно.""]",Я выглянул в окно ( ) шёл дождь.,"Двоеточие ставится, если вторая часть поясняет или дополняет первую"
russian,hard,Лексические нормы,В каком предложении допущена лексическая ошибка (плеоназм)?,"[""Он впервые дебютировал на сцене."", ""Он выступил на сцене."", ""Его дебют состоялся вчера."", ""Он впервые вышел на сцену.""]",Он впервые дебютировал на сцене.,Плеоназм — употребление лишних слов с одинаковым значением
russian,hard,Паронимы,В каком предложении правильно употреблён пароним?,"[""Он надел пальто и вышел."", ""Он одел пальто и вышел."", ""Он одел на себя пальто."", ""Он надел себе пальто.""]",Он надел пальто и вышел.,"«Надеть» — на себя, «одеть» — кого-то"
russian,hard,Стили речи,"К какому стилю относится текст: «Согласно приказу №123 от 01.09.2024, сотрудникам предоставляется отпуск»?","[""официально-деловой"", ""научный"", ""публицистический"", ""художественный""]",официально-деловой,Обратите внимание на канцелярские обороты и структуру
russian,hard,Средства выразительности,Какое средство выразительности использовано: «Золотая осень накрыла город»?,"[""метафора"", ""сравнение"", ""эпитет"", ""гипербола""]",метафора,"Метафора — скрытое сравнение, перенос значения"
russian,hard,Средства выразительности,Какое средство выразительности использовано: «Я сто раз тебе говорил»?,"[""гипербола"", ""литота"", ""метафора"", ""олицетворение""]",гипербола,Гипербола — преувеличение
russian,hard,Морфологический разбор,Какой частью речи является слово «пять» в предложении «Нас было пятеро»?,"[""числительное"", ""существительное"", ""прилагательное"", ""местоимение""]",числительное,Слово обозначает количество
history,easy,Древняя Русь,В каком году произошло Крещение Руси?,"[""988"", ""862"", ""1147"", ""1380""]",988,Это событие связано с князем Владимиром
history,easy,Древняя Русь,Кто считается основателем Древнерусского государства согласно «Повести временных лет»?,"[""Рюрик"", ""Олег"", ""Владимир"", ""Ярослав""]",Рюрик,Он был призван варягами в 862 году
history,easy,Древняя Русь,Какой город был столицей Древнерусского государства?,"[""Киев"", ""Новгород"", ""Москва"", ""Владимир""]",Киев,Этот город называли «матерью городов русских»
history,easy,Монгольское нашествие,В каком году произошла битва на реке Калке?,"[""1223"", ""1240"", ""1380"", ""1480""]",1223,Это было первое столкновение русских с монголами
history,easy,Московское государство,Кто был первым русским царём?,"[""Иван IV"", ""Иван III"", ""Пётр I"", ""Михаил Романов""]",Иван IV,Он известен под прозвищем «Грозный»
history,easy,Великая Отечественная война,В каком году началась Великая Отечественная война?,"[""1941"", ""1939"", ""1940"", ""1942""]",1941,Дата начала — 22 июня
history,easy,Великая Отечественная война,В каком году закончилась Великая Отечественная война?,"[""1945"", ""1944"", ""1946"", ""1943""]",1945,Победа была одержана в мае
history,easy,Правление Петра I,Какой город основал Пётр I в 1703 году?,"[""Санкт-Петербург"", ""Москва"", ""Екатеринбург"", ""Нижний Новгород""]",Санкт-Петербург,Этот город стал новой столицей России
history,easy,XIX век,В каком году была отменена крепостное право в России?,"[""1861"", ""1812"", ""1825"", ""1905""]",1861,Реформу провёл Александр II
history,easy,Отечественная война 1812 года,Кто командовал русской армией в Бородинской битве?,"[""Кутузов"", ""Суворов"", ""Багратион"", ""Барклай-де-Толли""]",Кутузов,Он был назначен главнокомандующим незадолго до битвы
history,easy,XX век,В каком году произошла Октябрьская революция?,"[""1917"", ""1905"", ""1914"", ""1922""]",1917,К власти пришли большевики
history,easy,XX век,В каком году был образован СССР?,"[""1922"", ""1917"", ""1924"", ""1936""]",1922,Союз был создан после окончания Гражданской войны
history,easy,Куликовская битва,В каком году произошла Куликовская битва?,"[""1380"", ""1480"", ""1240"", ""1242""]",1380,Русскими войсками командовал Дмитрий Донской
history,easy,Ледовое побоище,На каком озере произошло Ледовое побоище?,"[""Чудском"", ""Ладожском"", ""Онежском"", ""Ильмень""]",Чудском,Битва произошла в 1242 году
history,easy,Александр Невский,"Как звали князя, победившего шведов в Невской битве?","[""Александр"", ""Дмитрий"", ""Владимир"", ""Ярослав""]",Александр,После этой победы он получил своё прозвище
history,easy,Смутное время,Какой праздник отмечается в России 4 ноября?,"[""День народного единства"", ""День Победы"", ""День России"", ""День Конституции""]",День народного единства,Связан с освобождением Москвы в 1612 году
history,easy,Распад СССР,В каком году распался СССР?,"[""1991"", ""1989"", ""1993"", ""1985""]",1991,Это произошло в декабре
history,easy,Древняя Русь,При каком князе был составлен первый письменный свод законов «Русская Правда»?,"[""Ярославе Мудром"", ""Владимире Святом"", ""Олеге Вещем"", ""Святославе""]",Ярославе Мудром,Этот князь правил в XI веке
history,easy,Космонавтика,В каком году Юрий Гагарин совершил первый полёт в космос?,"[""1961"", ""1957"", ""1963"", ""1969""]",1961,Полёт состоялся 12 апреля
history,medium,Древняя Русь,Какое событие произошло в 862 году согласно «Повести временных лет»?,"[""Призвание варягов"", ""Крещение Руси"", ""Основание Киева"", ""Поход на Византию""]",Призвание варягов,Связано с приглашением Рюрика
history,medium,Феодальная раздробленность,Какой съезд князей в 1097 году закрепил принцип «каждый да держит отчину свою»?,"[""Любечский"", ""Витичевский"", ""Долобский"", ""Киевский""]",Любечский,Съезд был созван для прекращения междоусобиц
history,medium,Монгольское нашествие,Какой город оборонялся от монголов 7 недель в 1238 году?,"[""Козельск"", ""Рязань"", ""Владимир"", ""Киев""]",Козельск,Монголы прозвали его «злым городом»
history,medium,Возвышение Москвы,Какой князь получил право сбора дани со всех русских земель для Орды?,"[""Иван Калита"", ""Дмитрий Донской"", ""Иван III"", ""Юрий Долгорукий""]",Иван Калита,Его прозвище связано с денежным мешком
history,medium,Освобождение от ордынского ига,Какое событие 1480 года ознаменовало конец ордынского ига?,"[""Стояние на Угре"", ""Куликовская битва"", ""Битва на Калке"", ""Взятие Казани""]",Стояние на Угре,Войска Ивана III и хана Ахмата стояли на разных берегах реки
history,medium,Правление Ивана IV,"Как называлась система террора, введённая Иваном Грозным в 1565 году?","[""Опричнина"", ""Земщина"", ""Местничество"", ""Кормление""]",Опричнина,Это слово происходит от слова «опричь» — кроме
history,medium,Правление Ивана IV,Какой город был взят русскими войсками в 1552 году?,"[""Казань"", ""Астрахань"", ""Крым"", ""Новгород""]",Казань,В честь этого события был построен Покровский собор в Москве
history,medium,Смутное время,"Кто возглавил Второе ополчение, освободившее Москву в 1612 году?","[""Минин и Пожарский"", ""Болотников"", ""Шуйский"", ""Скопин-Шуйский""]",Минин и Пожарский,"Один был земским старостой, другой — князем"
history,medium,Правление Петра I,Какая война длилась с 1700 по 1721 год?,"[""Северная война"", ""Семилетняя война"", ""Ливонская война"", ""Русско-турецкая война""]",Северная война,Россия воевала со Швецией за выход к Балтийскому морю
history,medium,Правление Петра I,Какое сражение 1709 года стало переломным в Северной войне?,"[""Полтавская битва"", ""Битва при Нарве"", ""Гангутское сражение"", ""Битва при Лесной""]",Полтавская битва,В этой битве была разгромлена армия Карла XII
history,medium,Дворцовые перевороты,Какой период в истории России называют «эпохой дворцовых переворотов»?,"[""1725-1762"", ""1700-1725"", ""1762-1801"", ""1801-1825""]",1725-1762,Период начался после смерти Петра I
history,medium,Правление Екатерины II,Как называлось восстание 1773-1775 годов?,"[""Восстание Пугачёва"", ""Восстание Разина"", ""Восстание Болотникова"", ""Медный бунт""]",Восстание Пугачёва,Предводитель выдавал себя за Петра III
history,medium,Отечественная война 1812 года,Какое решение было принято на совете в Филях?,"[""Оставить Москву"", ""Дать генеральное сражение"", ""Отступать на юг"", ""Просить о мире""]",Оставить Москву,Это решение принял Кутузов
history,medium,Декабристы,В каком году произошло восстание декабристов?,"[""1825"", ""1812"", ""1861"", ""1881""]",1825,"Восстание произошло в декабре, отсюда и название"
history,medium,Крымская война,Какой город был осаждён в ходе Крымской войны 1853-1856 годов?,"[""Севастополь"", ""Одесса"", ""Керчь"", ""Ялта""]",Севастополь,Оборона этого города длилась 349 дней
history,medium,Великие реформы,Какая реформа была проведена в 1864 году и создала органы местного самоуправления?,"[""Земская реформа"", ""Крестьянская реформа"", ""Военная реформа"", ""Судебная реформа""]",Земская реформа,Были созданы земские собрания и управы
history,medium,Первая русская революция,Какое событие произошло 9 января 1905 года?,"[""Кровавое воскресенье"", ""Октябрьский манифест"", ""Восстание на броненосце «Потёмкин»"", ""Московское вооружённое восстание""]",Кровавое воскресенье,Мирная демонстрация была расстреляна
history,medium,Первая мировая война,В каком году Россия вступила в Первую мировую войну?,"[""1914"", ""1913"", ""1915"", ""1916""]",1914,Война началась летом этого года
history,medium,Великая Отечественная война,Какая битва считается коренным переломом в ходе Великой Отечественной войны?,"[""Сталинградская"", ""Московская"", ""Курская"", ""Берлинская""]",Сталинградская,Битва завершилась в феврале 1943 года
history,hard,Древняя Русь,Какой системой управления пользовались древнерусские князья для сбора дани до реформы Ольги?,"[""Полюдье"", ""Повоз"", ""Кормление"", ""Местничество""]",Полюдье,Князь с дружиной объезжал подвластные территории
history,hard,Древняя Русь,"Как называлась форма землевладения в Древней Руси, передаваемая по наследству?","[""Вотчина"", ""Поместье"", ""Надел"", ""Удел""]",Вотчина,"От слова «отец», «отчина»"
history,hard,Удельная раздробленность,В каком княжестве установилась боярская республика?,"[""Новгородском"", ""Владимиро-Суздальском"", ""Галицко-Волынском"", ""Черниговском""]",Новгородском,Высшим органом власти было вече
